DS;meantq;mintq;25tq;75tq;maxtq;Stabwtq;Setq;meanuk;minuk;25uk;75uk;maxuk;Stabwuk;Seuk;solution
DS0200;0.535984;0.6743;0.589275;0.491075;0.3514;0.074584528;0.010547845;0.4543525;0.357125;0.40440625;0.50028125;0.588;0.058348534;0.008251729;200
DS0500;0.7745;0.80425;0.786625;0.7499;0.7416;0.021975823;0.005674133;0.36375;0.2831;0.2976625;0.4372;0.46815;0.070505965;0.018204562;500
DS1000;0.856886667;0.91635;0.899275;0.8288;0.7704;0.046887763;0.012106368;0.310098333;0.225;0.24286875;0.3857;0.40825;0.070894567;0.018304899;1000
DS5000;0.89234;0.93915;0.918325;0.86825;0.8334;0.031805672;0.008212189;0.290366667;0.206725;0.231225;0.36465;0.386875;0.070471172;0.018195578;5000
DS7712;0.897843333;0.966;0.9361;0.868575;0.74875;0.054643167;0.024437167;0.284393333;0.207425;0.2304625;0.3590875;0.378075;0.066712123;0.017224996;7712